,dōngxi,thing,东西,,
,rì,day,日,,
,,,,day,
,niǔyuē,New York,纽约,,
,liù,six,六,,
,miàn,noodle,面,,
,,,,noodle,
,yuè,moon,月,,
,méi,No,没,,
,,,,No,
,yī,one,一,,
,,,,one,
,bàba,dad,爸爸,,
,xiàwǔ,afternoon,下午,,
,,,,afternoon,
,huì,Can,会,,
,,,,Can,
,kuài,quick,快,,
,,,,quick,
,nǎr,where,哪儿,,
,zhāng,open,张,,
,yào,want,要,,
,fàndiàn,restaurant,饭店,,
,hǎojiǔbujiàn,have not seen you for a long time,好久不见,,
,qī,seven,七,,
,shuìjiào,sleep,睡觉,,
,nàr,there,那儿,,
,hǎojiǔbujiàn,have not seen you for a long time,好久不见,,
,èr,two,二,,
,lěng,cold,冷,,
,,,,cold,
,màn,slow,慢,,
,fàn,meal,饭,,
,shāngdiàn,shop,商店,,
,,,,shop,
,hǎo,Okay,好,,
,sì,Four,四,,
,xiànzài,Now,现在,,
,,,,Now,
,nán,male,男,,
,xuéxiào,School,学校,,
,wèn,ask,问,,
,xuésheng,student,学生,,
,shū,Book,书,,
,bā,Eight,八,,
,gēge,elder brother,哥哥,,
,zài,Again,再,,
,érzi,son,儿子,,
,,,,son,
,hànyǔ,Chinese,汉语,,
,dé,have to,得,,
,,,,have to,
,běijīng,Beijing,北京,,
,xǐhuan,like,喜欢,,
,,,,like,
,ǎi,short,矮,,
,yú,fish,鱼,,
,sì,Four,四,,
,hǎojiǔbujiàn,have not seen you for a long time,好久不见,,
,duì,right,对,,
,,,,right,
,qǐngwèn,Excuse me,请问,,
,dìdi,younger brother,弟弟,,
,fàn,meal,饭,,
,wáng,King,王,,
,kāfēi,coffee,咖啡,,
,tīng,hear,听,,
,,,,hear,
,měiguó,America,美国,,
,qián,money,钱,,
,tāmen,they,她们,,
,le,In,了,,
,,,,In,
,zǎoshang,Morning,早上,,
,měiguó,America,美国,,
,tāmen,them,他们,,
,wèi,Hey,喂,,
,,,,Hey,
,bǎi,Hundred,百,,
,bāngzhù,help,帮助,,
,bùcuò,good,不错,,
,,,,good,
,bù kèqi,You are welcome,不客气,,
,bàba,dad,爸爸,,
,duōshǎo,How many,多少,,
,zhāng,open,张,,
,,,,open,
,zuótiān,yesterday,昨天,,
,xià,Down,下,,
,líng,zero,零,,
,zài,Again,再,,
,shíhou,when,时候,,
,,,,when,
,diànyǐng,Movie,电影,,
,shéi,Who,谁,,
,jiārén,family,家人,,
,liǎng,two,两,,
,míngbai,clear,明白,,
,,,,clear,
,dà,Big,大,,
,,,,Big,
,huǒchēzhàn,train station,火车站,,
,jiārén,family,家人,,
,zì,Character,字,,
,,,,Character,
,méiguānxi,It does not matter,没关系,,
,shuōhuà,say,说话,,
,,,,say,
,chī,eat,吃,,
,,,,eat,
,míngzì,name,名字,,
,cài,vegetable,菜,,
,tiān,sky,天,,
,,,,sky,
,míngbai,clear,明白,,
,yào,want,要,,
,,,,want,
,xiànzài,Now,现在,,
,zhù,live,住,,
,,,,live,
,píngguǒ,Apple,苹果,,
,,,,Apple,
,rè,hot,热,,
,xuéxiào,School,学校,,
,gāoxìng,Happy,高兴,,
,māo,cat,猫,,
,diànshì,television,电视,,
,shuìjiào,sleep,睡觉,,
,,,,sleep,
,xìng,surname,姓,,
,zì,Character,字,,
,,,,Character,
,kěài,cute,可爱,,
,yǒu,have,有,,
,lǐ,inside,里,,
,,,,inside,
,běijīng,Beijing,北京,,
,méi,No,没,,
,dà,Big,大,,
,xǐshǒujiān,Toilet,洗手间,,
,shàng,superior,上,,
,,,,superior,
,bùcuò,good,不错,,
,,,,good,
,bàn,Half,半,,
,bùcuò,good,不错,,
,diànshì,television,电视,,
,tiān,sky,天,,
,shéi,Who,谁,,
,tā,he,他,,
,gāoxìng,Happy,高兴,,
,rén,people,人,,
,rén,people,人,,
,kāfēi,coffee,咖啡,,
,yě,also,也,,
,zǎoshang,Morning,早上,,
,yīhuìr,For a while,一会儿,,
,tāmen,they,她们,,
,qǐng,Please,请,,
,qián,money,钱,,
,,,,money,
,zuìjìn,recent,最近,,
,,,,recent,
,xǐshǒujiān,Toilet,洗手间,,
,tīng,listen,听,,
,ǎi,short,矮,,
,huá,magnificent,华,,
,bù kèqi,You're welcome,不客气,,
,pángbiān,beside,旁边,,
,shuōhuà,say,说话,,
,xià,Down,下,,
,piàoliang,Pretty,漂亮,,
,diànnǎo,computer,电脑,,
,tài,too,太,,
,,,,too,
,zhèr,here,这儿,,
,,,,here,
,hé,and,和,,
,wǔfàn,lunch,午饭,,
,zuìjìn,recent,最近,,
,,,,recent,
,zài,exist,在,,
,lǐ,plum,李,,
,,,,plum,
,hào,No,号,,
,,,,No,
,lǐ,plum,李,,
,líng,Il,〇,,
,zài,exist,在,,
,chá,Tea,茶,,
,zhāng,open,张,,
,zǒu,go,走,,
,yīngguó,U.K.,英国,,
,niúnǎi,milk,牛奶,,
,fēicháng,Very,非常,,
,,,,Very,
,wáng,king,王,,
,nǚér,daughter,女儿,,
,ne,Woolen cloth,呢,,
,,,,Woolen cloth,
,wǎnān,Good night,晚安,,
,běijīng,Beijing,北京,,
,lù,road,路,,
,zhèlǐ,here,这里,,
,,,,here,
,bēizi,cup,杯子,,
,,,,cup,
,xiǎojie,Miss,小姐,,
,,,,Miss,
,xià,Down,下,,
,shénme,what,什么,,
,shénme,what,什么,,
,shénme,what,什么,,
,shénme,what,什么,,
,shénme,what,什么,,
,shénme,what,什么,,
,líng,zero,零,,
,yú,fish,鱼,,
,cóng,From,从,,
,shū,Book,书,,
,xiàbān,get off work,下班,,
,bùcuò,good,不错,,
,miàn,noodle,面,,
,kuài,yuan,块,,
,,,,yuan,
,xiānggǎng,Hongkong,香港,,
,yīyuàn,Hospital,医院,,
,jiārén,family,家人,,
,dào,arrive,到,,
,,,,arrive,
,shàngxué,go to school,上学,,
,tāmen,they,她们,,
,ma,?,吗,,
,bù kèqi,You're welcome,不客气,,
,liǎng,two,两,,
,nǚér,daughter,女儿,,
,yòubian,right,右边,,
,kāi,open,开,,
,xīngqī,Week,星期,,
,qī,seven,七,,
,qián,money,钱,,
,duìbuqǐ,Sorry,对不起,,
,duìbuqǐ,Sorry,对不起,,
,nǎ,where,哪,,
,píngguǒ,apple,苹果,,
,měi,Every,每,,
,měi,Every,每,,
,bàba,dad,爸爸,,
,piàoliang,Pretty,漂亮,,
,měi,Every,每,,
,měi,Every,每,,
,jīnnián,This year,今年,,
,nà,That,那,,
,suì,age,岁,,
,bàn,Half,半,,
,dé,have to,得,,
,zǎoān,Good morning,早安,,
,zhōumò,weekend,周末,,
,jiào,Call,叫,,
,zhù,live,住,,
,lěng,cold,冷,,
,jiàn,See,见,,
,diànnǎo,computer,电脑,,
,xuésheng,student,学生,,
,pángbiān,beside,旁边,,
,hé,and,和,,
,míngnián,next year,明年,,
,xièxie,thanks,谢谢,,
,wáng,king,王,,
,shuìjiào,sleep,睡觉,,
,shénme,what,什么,,
,zǒu,go,走,,
,lǐ,inside,里,,
,,,,inside,
,jīntiān,today,今天,,
,jǐ,Several,几,,
,jiānádà,Canada,加拿大,,
,wǎnshàng,night,晚上,,
,nán,male,男,,
,,,,male,
,lǐ,plum,李,,
,dōngxi,thing,东西,,
,bǎi,Hundred,百,,
,zǎoshang,Morning,早上,,
,xìng,surname,姓,,
,huí,Return,回,,
,shǎo,few,少,,
,néng,can,能,,
,,,,can,
,jiārén,family,家人,,
,shuìjiào,sleep,睡觉,,
,,,,sleep,
,rènshi,know,认识,,
,zěnme,how,怎么,,
,,,,how,
,sān,three,三,,
,xiànzài,Now,现在,,
,,,,Now,
,,,,Now,
,fànguǎn,restaurant,饭馆,,
,yīyuàn,Hospital,医院,,
,,,,Hospital,
,chī,eat,吃,,
,dà,Big,大,,
,,,,Big,
,huǒchēzhàn,TRAIN STATION,火车站,,
,tiān,sky,天,,
,,,,sky,
,běijīng,Beijing,北京,,
,wǎnshàng,night,晚上,,
,,,,night,
,hàomǎ,Number,号码,,
,,,,Number,
,èr,two,二,,
,,,,two,
,zhōumò,weekend,周末,,
,xièxie,thanks,谢谢,,
,nà,That,那,,
,jīntiān,today,今天,,
,ǎi,short,矮,,
,fàngxué,School,放学,,
,gǒu,dog,狗,,
,zì,Character,字,,
,,,,Character,
,zài,exist,在,,
,míngnián,next year,明年,,
,zǎoshang,Morning,早上,,
,shāngdiàn,shop,商店,,
,,,,shop,
,shū,Book,书,,
,,,,Book,
,bù,Do not,不,,
,rènshi,know,认识,,
,zài,exist,在,,
,,,,exist,
,méi,No,没,,
,,,,No,
,měi,Every,每,,
,zǎofàn,breakfast,早饭,,
,,,,breakfast,
,xià,Down,下,,
,gǒu,dog,狗,,
,liǎng,two,两,,
,néng,can,能,,
,xiǎng,think,想,,
,yīyuàn,Hospital,医院,,
,huí,Return,回,,
,,,,Return,
,bùcuò,good,不错,,
,,,,good,
,dǎdiànhuà,Call up,打电话,,
,qǐngwèn,Excuse me,请问,,
,bǎi,Hundred,百,,
,qǐchuáng,get up,起床,,
,jiějie,elder sister,姐姐,,
,xīngqī,Week,星期,,
,xǐhuan,like,喜欢,,
,fàngxué,School,放学,,
,diànnǎo,computer,电脑,,
,,,,computer,
,tā,he,他,,
,dìdi,younger brother,弟弟,,
,zuǒbian,left,左边,,
,,,,left,
,wǒmen,us,我们,,
,shì,Yes,是,,
,huǒchēzhàn,TRAIN STATION,火车站,,
,,,,TRAIN STATION,
,míngbai,clear,明白,,
,dé,have to,得,,
,,,,have to,
,zěnmeyàng,How about it,怎么样,,
,,,,How about it,
,zěnme,how,怎么,,
,nǎlǐ,where,哪里,,
,zhuōzi,table,桌子,,
,shàngwǔ,morning,上午,,
,le,In,了,,
,xià,Down,下,,
,,,,Down,
,zhù,live,住,,
,zǎoān,Good morning,早安,,
,běn,Book,本,,
,,,,Book,
,fànguǎn,restaurant,饭馆,,
